Data,Hora,Unidade de medida,Media horaria
01/01/2017,02:00,ppm,1.1
01/01/2017,03:00,ppm,1.0
01/01/2017,04:00,ppm,0.8
01/01/2017,06:00,ppm,0.6
01/01/2017,07:00,ppm,0.6
01/01/2017,08:00,ppm,0.5
01/01/2017,09:00,ppm,0.4
01/01/2017,10:00,ppm,0.4
01/01/2017,11:00,ppm,0.4
01/01/2017,12:00,ppm,0.4
01/01/2017,13:00,ppm,0.4
01/01/2017,14:00,ppm,0.4
01/01/2017,15:00,ppm,0.4
01/01/2017,16:00,ppm,0.4
01/01/2017,17:00,ppm,0.5
01/01/2017,18:00,ppm,0.8
01/01/2017,19:00,ppm,0.7
01/01/2017,20:00,ppm,0.9
01/01/2017,21:00,ppm,1.0
01/01/2017,22:00,ppm,0.9
01/01/2017,23:00,ppm,0.7
01/01/2017,24:00,ppm,0.6
02/01/2017,01:00,ppm,0.5
02/01/2017,02:00,ppm,0.5
02/01/2017,03:00,ppm,0.5
02/01/2017,04:00,ppm,0.4
02/01/2017,06:00,ppm,0.7
02/01/2017,07:00,ppm,1.0
02/01/2017,08:00,ppm,1.2
02/01/2017,09:00,ppm,0.9
02/01/2017,10:00,ppm,0.7
02/01/2017,11:00,ppm,0.7
02/01/2017,12:00,ppm,0.7
02/01/2017,13:00,ppm,0.6
02/01/2017,14:00,ppm,0.6
02/01/2017,15:00,ppm,0.8
02/01/2017,16:00,ppm,0.8
02/01/2017,17:00,ppm,0.6
02/01/2017,18:00,ppm,0.7
02/01/2017,19:00,ppm,0.5
02/01/2017,20:00,ppm,0.4
02/01/2017,21:00,ppm,0.5
02/01/2017,22:00,ppm,0.5
02/01/2017,23:00,ppm,0.6
02/01/2017,24:00,ppm,0.5
03/01/2017,01:00,ppm,0.4
03/01/2017,02:00,ppm,0.4
03/01/2017,03:00,ppm,0.4
03/01/2017,04:00,ppm,0.4
03/01/2017,06:00,ppm,0.7
03/01/2017,07:00,ppm,0.6
03/01/2017,08:00,ppm,0.7
03/01/2017,09:00,ppm,0.8
03/01/2017,10:00,ppm,0.6
03/01/2017,11:00,ppm,0.8
03/01/2017,12:00,ppm,0.7
03/01/2017,13:00,ppm,0.7
03/01/2017,14:00,ppm,0.6
03/01/2017,15:00,ppm,0.6
03/01/2017,16:00,ppm,0.4
03/01/2017,17:00,ppm,0.4
03/01/2017,18:00,ppm,0.4
03/01/2017,19:00,ppm,0.4
03/01/2017,20:00,ppm,0.5
03/01/2017,21:00,ppm,0.7
03/01/2017,22:00,ppm,0.5
03/01/2017,23:00,ppm,0.5
03/01/2017,24:00,ppm,0.6
04/01/2017,01:00,ppm,0.4
04/01/2017,02:00,ppm,0.5
04/01/2017,03:00,ppm,0.6
04/01/2017,04:00,ppm,0.5
04/01/2017,06:00,ppm,0.8
04/01/2017,07:00,ppm,1.1
04/01/2017,08:00,ppm,1.2
04/01/2017,09:00,ppm,1.1
04/01/2017,10:00,ppm,1.1
04/01/2017,11:00,ppm,1.1
04/01/2017,12:00,ppm,1.0
04/01/2017,13:00,ppm,0.9
04/01/2017,14:00,ppm,0.8
04/01/2017,15:00,ppm,0.9
04/01/2017,16:00,ppm,0.8
04/01/2017,17:00,ppm,0.7
04/01/2017,18:00,ppm,0.8
04/01/2017,19:00,ppm,0.8
04/01/2017,20:00,ppm,0.8
04/01/2017,21:00,ppm,0.8
04/01/2017,22:00,ppm,0.9
04/01/2017,23:00,ppm,0.8
04/01/2017,24:00,ppm,0.6
05/01/2017,01:00,ppm,0.5
05/01/2017,02:00,ppm,0.4
05/01/2017,03:00,ppm,0.4
05/01/2017,04:00,ppm,0.5
05/01/2017,06:00,ppm,0.7
05/01/2017,07:00,ppm,1.3
05/01/2017,08:00,ppm,1.3
05/01/2017,09:00,ppm,1.4
05/01/2017,10:00,ppm,1.0
05/01/2017,11:00,ppm,0.9
05/01/2017,12:00,ppm,0.7
05/01/2017,13:00,ppm,0.6
05/01/2017,14:00,ppm,0.7
05/01/2017,15:00,ppm,0.7
05/01/2017,16:00,ppm,0.7
05/01/2017,17:00,ppm,0.8
05/01/2017,18:00,ppm,1.0
05/01/2017,19:00,ppm,0.9
05/01/2017,20:00,ppm,0.9
05/01/2017,21:00,ppm,0.8
05/01/2017,22:00,ppm,1.1
05/01/2017,23:00,ppm,0.9
05/01/2017,24:00,ppm,0.5
06/01/2017,01:00,ppm,0.4
06/01/2017,02:00,ppm,0.4
06/01/2017,03:00,ppm,0.5
06/01/2017,04:00,ppm,0.5
06/01/2017,06:00,ppm,0.7
06/01/2017,07:00,ppm,1.2
06/01/2017,08:00,ppm,1.4
06/01/2017,09:00,ppm,1.6
06/01/2017,10:00,ppm,1.5
06/01/2017,11:00,ppm,1.2
06/01/2017,12:00,ppm,0.8
06/01/2017,13:00,ppm,0.6
06/01/2017,14:00,ppm,0.6
06/01/2017,15:00,ppm,0.6
06/01/2017,16:00,ppm,0.5
