Data,Hora,Unidade de medida,Media horaria
01/01/2018,02:00,°C,21.6
01/01/2018,03:00,°C,21.5
01/01/2018,04:00,°C,21.2
01/01/2018,05:00,°C,21.0
01/01/2018,06:00,°C,20.8
01/01/2018,07:00,°C,20.8
01/01/2018,08:00,°C,21.1
01/01/2018,09:00,°C,22.1
01/01/2018,10:00,°C,22.6
01/01/2018,11:00,°C,23.3
01/01/2018,12:00,°C,23.9
01/01/2018,13:00,°C,24.7
01/01/2018,14:00,°C,25.8
01/01/2018,15:00,°C,27.0
01/01/2018,16:00,°C,27.7
01/01/2018,17:00,°C,28.1
01/01/2018,18:00,°C,28.4
01/01/2018,19:00,°C,28.9
01/01/2018,20:00,°C,27.8
01/01/2018,21:00,°C,26.9
01/01/2018,22:00,°C,26.2
01/01/2018,23:00,°C,25.0
01/01/2018,24:00,°C,24.4
02/01/2018,01:00,°C,24.0
02/01/2018,02:00,°C,23.7
02/01/2018,03:00,°C,23.2
02/01/2018,04:00,°C,22.7
02/01/2018,05:00,°C,22.4
02/01/2018,06:00,°C,22.1
02/01/2018,07:00,°C,22.0
02/01/2018,08:00,°C,22.9
02/01/2018,09:00,°C,23.7
02/01/2018,10:00,°C,23.9
02/01/2018,11:00,°C,24.3
02/01/2018,12:00,°C,25.1
02/01/2018,13:00,°C,25.9
02/01/2018,14:00,°C,26.0
02/01/2018,15:00,°C,24.5
02/01/2018,16:00,°C,26.4
02/01/2018,17:00,°C,26.8
02/01/2018,18:00,°C,27.7
02/01/2018,19:00,°C,27.2
02/01/2018,20:00,°C,25.7
02/01/2018,21:00,°C,23.6
02/01/2018,22:00,°C,23.2
02/01/2018,23:00,°C,22.7
02/01/2018,24:00,°C,22.0
03/01/2018,01:00,°C,21.7
03/01/2018,02:00,°C,21.9
03/01/2018,03:00,°C,22.0
03/01/2018,04:00,°C,22.1
03/01/2018,05:00,°C,22.2
03/01/2018,06:00,°C,22.0
03/01/2018,07:00,°C,21.6
03/01/2018,08:00,°C,21.6
03/01/2018,09:00,°C,22.0
03/01/2018,10:00,°C,22.0
03/01/2018,11:00,°C,22.0
03/01/2018,12:00,°C,22.6
03/01/2018,13:00,°C,23.9
03/01/2018,14:00,°C,23.4
03/01/2018,15:00,°C,24.9
03/01/2018,16:00,°C,25.8
03/01/2018,17:00,°C,22.6
03/01/2018,18:00,°C,23.1
03/01/2018,19:00,°C,22.0
03/01/2018,20:00,°C,21.4
03/01/2018,21:00,°C,20.9
03/01/2018,22:00,°C,20.6
03/01/2018,23:00,°C,20.1
03/01/2018,24:00,°C,20.0
04/01/2018,01:00,°C,19.8
04/01/2018,02:00,°C,19.5
04/01/2018,03:00,°C,19.2
04/01/2018,04:00,°C,19.2
04/01/2018,05:00,°C,18.9
04/01/2018,06:00,°C,18.5
04/01/2018,07:00,°C,18.4
04/01/2018,08:00,°C,19.4
04/01/2018,09:00,°C,21.2
04/01/2018,10:00,°C,23.1
04/01/2018,11:00,°C,25.0
04/01/2018,12:00,°C,26.4
04/01/2018,13:00,°C,27.2
04/01/2018,14:00,°C,28.0
04/01/2018,15:00,°C,28.6
04/01/2018,16:00,°C,28.8
04/01/2018,17:00,°C,28.5
04/01/2018,18:00,°C,27.6
04/01/2018,19:00,°C,26.1
04/01/2018,20:00,°C,24.2
04/01/2018,21:00,°C,22.8
04/01/2018,22:00,°C,21.9
04/01/2018,23:00,°C,21.3
04/01/2018,24:00,°C,20.8
05/01/2018,01:00,°C,20.4
05/01/2018,02:00,°C,20.1
05/01/2018,03:00,°C,19.8
05/01/2018,04:00,°C,19.5
05/01/2018,05:00,°C,19.0
05/01/2018,06:00,°C,18.6
05/01/2018,07:00,°C,18.4
05/01/2018,08:00,°C,18.9
05/01/2018,09:00,°C,20.8
05/01/2018,10:00,°C,22.6
05/01/2018,11:00,°C,24.4
05/01/2018,12:00,°C,26.3
05/01/2018,13:00,°C,28.0
05/01/2018,14:00,°C,28.4
05/01/2018,15:00,°C,29.4
05/01/2018,16:00,°C,30.4
05/01/2018,17:00,°C,27.7
05/01/2018,18:00,°C,27.0
05/01/2018,19:00,°C,24.8
